,phase,library
cell_2273113,G1-G0 transition,Fibroblast
cell_2274592,G1-G0 transition,Fibroblast
cell_2277970,G0,Fibroblast
cell_2278712,S,Fibroblast
cell_2282332,G1,Fibroblast
cell_2282978,S,Fibroblast
cell_2283750,G0,Fibroblast
cell_2285266,G2M,Fibroblast
cell_2285927,G2M,Fibroblast
cell_2285940,G2M,Fibroblast
cell_2291237,G1,Fibroblast
cell_2291756,G1,Fibroblast
cell_2297658,S,Fibroblast
cell_2298457,S,Fibroblast
cell_2301792,G0,Fibroblast
cell_2302085,S,Fibroblast
cell_2302668,G0,Fibroblast
cell_2303039,S,Fibroblast
cell_2303483,G1,Fibroblast
cell_2303953,G1,Fibroblast
cell_2307105,G0,Fibroblast
cell_2308612,S,Fibroblast
cell_2310007,G1,Fibroblast
cell_2313754,G2M,Fibroblast
cell_2315017,G0,Fibroblast
cell_2315601,G1-G0 transition,Fibroblast
cell_2316293,G0,Fibroblast
cell_2316724,G1-G0 transition,Fibroblast
cell_2318299,G0,Fibroblast
cell_2318512,G1-G0 transition,Fibroblast
cell_2320868,G1-G0 transition,Fibroblast
cell_2321411,G1,Fibroblast
cell_2321820,G1-G0 transition,Fibroblast
cell_2321868,G1,Fibroblast
cell_2322450,G2M,Fibroblast
cell_2322731,G1,Fibroblast
cell_2324099,G1-G0 transition,Fibroblast
cell_2324939,G1,Fibroblast
cell_2324942,G0,Fibroblast
cell_2324987,S,Fibroblast
cell_2325547,G1,Fibroblast
cell_2325823,G2M,Fibroblast
cell_2326188,G1-G0 transition,Fibroblast
cell_2327202,G2M,Fibroblast
cell_2328893,G1,Fibroblast
cell_2329025,G0,Fibroblast
cell_2330139,G1,Fibroblast
cell_2330172,G0,Fibroblast
cell_2330264,S,Fibroblast
cell_2330709,G0,Fibroblast
cell_2331556,G1-G0 transition,Fibroblast
cell_2332963,G0,Fibroblast
cell_2335881,G0,Fibroblast
cell_2337770,G0,Fibroblast
cell_2337813,G1,Fibroblast
cell_2340619,G0,Fibroblast
cell_2340717,G0,Fibroblast
cell_2343029,G1-G0 transition,Fibroblast
cell_2343882,G1-G0 transition,Fibroblast
cell_2345850,G1-G0 transition,Fibroblast
cell_2347054,G1,Fibroblast
cell_2347494,G0,Fibroblast
cell_2347702,G0,Fibroblast
cell_2347819,G0,Fibroblast
cell_2349326,G1-G0 transition,Fibroblast
cell_2352574,S,Fibroblast
cell_2353049,S,Fibroblast
cell_2354790,G0,Fibroblast
cell_2357153,S,Fibroblast
cell_2357337,G1-G0 transition,Fibroblast
cell_2357522,G0,Fibroblast
cell_2359839,G2M,Fibroblast
cell_2361235,G1-G0 transition,Fibroblast
cell_2363311,S,Fibroblast
cell_2366613,G1,Fibroblast
cell_2366617,G1-G0 transition,Fibroblast
cell_2366878,S,Fibroblast
cell_2373037,G0,Fibroblast
cell_2373089,G1-G0 transition,Fibroblast
cell_2373751,G1,Fibroblast
cell_2374165,G1,Fibroblast
cell_2374899,G0,Fibroblast
cell_2376084,G0,Fibroblast
cell_2376149,G2M,Fibroblast
cell_2376496,G1-G0 transition,Fibroblast
cell_2380684,G1,Fibroblast
cell_2380947,G1,Fibroblast
cell_2382489,G1-G0 transition,Fibroblast
cell_2383298,G0,Fibroblast
cell_2383882,G1,Fibroblast
cell_2385725,G1,Fibroblast
cell_2386620,G2M,Fibroblast
cell_2387784,S,Fibroblast
cell_2389743,G1,Fibroblast
cell_2389974,G0,Fibroblast
cell_2390271,G2M,Fibroblast
cell_2391019,S,Fibroblast
cell_2392216,G0,Fibroblast
cell_2393217,G0,Fibroblast
cell_2394678,G1-G0 transition,Fibroblast
cell_2396689,G1,Fibroblast
cell_2397468,G0,Fibroblast
cell_2398141,S,Fibroblast
cell_2400332,G0,Fibroblast
cell_2400712,S,Fibroblast
cell_2401185,G0,Fibroblast
cell_2401193,G0,Fibroblast
cell_2401550,G0,Fibroblast
cell_2406702,S,Fibroblast
cell_2407358,G1-G0 transition,Fibroblast
cell_2409404,G1-G0 transition,Fibroblast
cell_2411227,G0,Fibroblast
cell_2411692,G1,Fibroblast
cell_2414304,G1-G0 transition,Fibroblast
cell_2414874,S,Fibroblast
cell_2415736,S,Fibroblast
cell_2415834,G0,Fibroblast
cell_2416962,S,Fibroblast
cell_2417376,G1,Fibroblast
cell_2417951,G1-G0 transition,Fibroblast
cell_2419215,G1-G0 transition,Fibroblast
cell_2419240,G0,Fibroblast
cell_2421859,S,Fibroblast
cell_2422265,G0,Fibroblast
cell_2423291,G1,Fibroblast
cell_2428648,G2M,Fibroblast
cell_2431660,S,Fibroblast
cell_2431834,G0,Fibroblast
cell_2431896,G1-G0 transition,Fibroblast
cell_2433261,G0,Fibroblast
cell_2434204,G2M,Fibroblast
cell_2435449,G0,Fibroblast
cell_2436735,G0,Fibroblast
cell_2436755,S,Fibroblast
cell_2438195,G0,Fibroblast
cell_2438745,G2M,Fibroblast
cell_2442558,G2M,Fibroblast
cell_2443345,G1-G0 transition,Fibroblast
cell_2445323,G2M,Fibroblast
cell_2448634,G1,Fibroblast
cell_2449450,G0,Fibroblast
cell_2449792,S,Fibroblast
cell_2450432,G0,Fibroblast
cell_2451394,S,Fibroblast
cell_2451520,G0,Fibroblast
cell_2455942,G1-G0 transition,Fibroblast
cell_2463463,G1-G0 transition,Fibroblast
cell_2464977,G1,Fibroblast
cell_2469894,G2M,Fibroblast
cell_2470296,S,Fibroblast
cell_2473451,S,Fibroblast
cell_2473561,G0,Fibroblast
cell_2475859,G1-G0 transition,Fibroblast
cell_2476041,G0,Fibroblast
cell_2479892,S,Fibroblast
cell_2480395,G0,Fibroblast
cell_2480686,S,Fibroblast
cell_2481575,G0,Fibroblast
cell_2482165,G1-G0 transition,Fibroblast
cell_2482246,G1,Fibroblast
cell_2484496,S,Fibroblast
cell_2487513,S,Fibroblast
cell_2487687,G1-G0 transition,Fibroblast
cell_2487864,G1,Fibroblast
cell_2489039,G1,Fibroblast
cell_2489284,S,Fibroblast
cell_2489869,G1,Fibroblast
cell_2493137,S,Fibroblast
cell_2493559,G1-G0 transition,Fibroblast
cell_2496063,G1,Fibroblast
cell_2497117,S,Fibroblast
cell_2499669,G1,Fibroblast
cell_2501897,G1,Fibroblast
cell_2502023,G1-G0 transition,Fibroblast
cell_2504757,G0,Fibroblast
cell_2509032,S,Fibroblast
cell_2509134,G2M,Fibroblast
cell_2510563,S,Fibroblast
cell_2512251,G1,Fibroblast
cell_2512326,G1-G0 transition,Fibroblast
cell_2513031,G2M,Fibroblast
cell_2514818,G2M,Fibroblast
cell_2515528,G0,Fibroblast
cell_2515569,G0,Fibroblast
cell_2515605,G0,Fibroblast
cell_2518501,S,Fibroblast
cell_2518526,G1-G0 transition,Fibroblast
cell_2518599,G0,Fibroblast
cell_2521588,G0,Fibroblast
cell_2523244,G2M,Fibroblast
cell_2524931,S,Fibroblast
cell_2527022,G1,Fibroblast
cell_2527024,S,Fibroblast
cell_2532079,G0,Fibroblast
cell_2533118,G1-G0 transition,Fibroblast
cell_2535675,G1,Fibroblast
cell_2538116,G0,Fibroblast
cell_2538975,G0,Fibroblast
cell_2539518,G1-G0 transition,Fibroblast
cell_2539556,G1,Fibroblast
cell_2539990,S,Fibroblast
cell_2540830,G0,Fibroblast
cell_2541258,S,Fibroblast
cell_2542770,S,Fibroblast
cell_2544634,G1,Fibroblast
cell_2545345,S,Fibroblast
cell_2545935,G1-G0 transition,Fibroblast
cell_2548127,G0,Fibroblast
cell_2548323,G0,Fibroblast
cell_2548590,G1-G0 transition,Fibroblast
cell_2550638,S,Fibroblast
cell_2552347,G1-G0 transition,Fibroblast
cell_2553211,G1-G0 transition,Fibroblast
cell_2556177,S,Fibroblast
cell_2556471,G2M,Fibroblast
cell_2556797,S,Fibroblast
cell_2557870,G0,Fibroblast
cell_2558045,G1,Fibroblast
cell_2562778,G1-G0 transition,Fibroblast
cell_2563201,G0,Fibroblast
cell_2563866,G1-G0 transition,Fibroblast
cell_2564710,G0,Fibroblast
cell_2565365,G0,Fibroblast
cell_2565994,G1-G0 transition,Fibroblast
cell_2566543,G1-G0 transition,Fibroblast
cell_2568953,G2M,Fibroblast
cell_2569300,G1-G0 transition,Fibroblast
cell_2572331,G0,Fibroblast
cell_2572798,S,Fibroblast
cell_2572858,S,Fibroblast
cell_2575170,G1,Fibroblast
cell_2576855,G1,Fibroblast
cell_2577550,G1,Fibroblast
cell_2578281,S,Fibroblast
cell_2579692,S,Fibroblast
cell_2580547,G0,Fibroblast
cell_2581024,S,Fibroblast
cell_2582794,S,Fibroblast
cell_2585030,G0,Fibroblast
cell_2587147,G1-G0 transition,Fibroblast
cell_2588386,S,Fibroblast
cell_2588495,S,Fibroblast
cell_2588775,G1,Fibroblast
cell_2589016,S,Fibroblast
cell_2589570,G1-G0 transition,Fibroblast
cell_2590721,G1,Fibroblast
cell_2593142,S,Fibroblast
cell_2593180,G1,Fibroblast
cell_2597011,S,Fibroblast
cell_2597268,G1-G0 transition,Fibroblast
cell_2597904,G2M,Fibroblast
cell_2602130,S,Fibroblast
cell_2605352,G1,Fibroblast
cell_2605656,G0,Fibroblast
cell_2606861,G0,Fibroblast
cell_2607097,G1-G0 transition,Fibroblast
cell_2607693,G1,Fibroblast
cell_2607975,G1-G0 transition,Fibroblast
cell_2608356,G1-G0 transition,Fibroblast
cell_2609226,S,Fibroblast
cell_2609417,S,Fibroblast
cell_2609798,G0,Fibroblast
cell_2610323,G2M,Fibroblast
cell_2611392,G0,Fibroblast
cell_2611610,G1,Fibroblast
cell_2613024,G1,Fibroblast
cell_2616122,S,Fibroblast
cell_2617802,G0,Fibroblast
cell_2619397,G2M,Fibroblast
cell_2620537,G1,Fibroblast
cell_2620586,G0,Fibroblast
cell_2622301,G0,Fibroblast
cell_2623779,S,Fibroblast
cell_2630584,G1,Fibroblast
cell_2632521,G0,Fibroblast
cell_2635272,G1-G0 transition,Fibroblast
cell_2635661,S,Fibroblast
cell_2636185,G0,Fibroblast
cell_2637307,G1,Fibroblast
cell_2637612,G0,Fibroblast
cell_2641724,S,Fibroblast
cell_2643150,G0,Fibroblast
cell_2643607,G1,Fibroblast
cell_2644238,G1-G0 transition,Fibroblast
cell_2644785,S,Fibroblast
cell_2646806,S,Fibroblast
cell_2647369,G1-G0 transition,Fibroblast
cell_2647723,S,Fibroblast
cell_2649079,G1-G0 transition,Fibroblast
cell_2649759,G2M,Fibroblast
cell_2650336,S,Fibroblast
cell_2651259,G0,Fibroblast
cell_2652271,G1,Fibroblast
cell_2654705,S,Fibroblast
cell_2656468,G0,Fibroblast
cell_2656491,G0,Fibroblast
cell_2659264,G1-G0 transition,Fibroblast
cell_2659479,G0,Fibroblast
cell_2662344,G0,Fibroblast
cell_2663682,G1,Fibroblast
cell_2663826,S,Fibroblast
cell_2664323,G1,Fibroblast
cell_2664657,G0,Fibroblast
cell_2666699,G1-G0 transition,Fibroblast
cell_2670212,G1-G0 transition,Fibroblast
cell_2670354,G0,Fibroblast
cell_2670410,G1-G0 transition,Fibroblast
cell_2670924,G0,Fibroblast
cell_2671560,G1,Fibroblast
cell_2672477,G1-G0 transition,Fibroblast
cell_2672674,G0,Fibroblast
cell_2673266,G0,Fibroblast
cell_2674308,G1,Fibroblast
cell_2674320,G2M,Fibroblast
cell_2675504,G0,Fibroblast
cell_2680695,G0,Fibroblast
cell_2681124,G1-G0 transition,Fibroblast
cell_2682314,G0,Fibroblast
cell_2684075,G2M,Fibroblast
cell_2684342,G0,Fibroblast
cell_2685025,G1,Fibroblast
cell_2686701,G0,Fibroblast
cell_2687073,G0,Fibroblast
cell_2691705,S,Fibroblast
cell_2692822,G1,Fibroblast
cell_2693322,G1,Fibroblast
cell_2694389,G1-G0 transition,Fibroblast
cell_2695230,S,Fibroblast
cell_2695729,G1,Fibroblast
cell_2696879,G1-G0 transition,Fibroblast
cell_2699266,G1-G0 transition,Fibroblast
cell_2702796,G2M,Fibroblast
cell_2706501,S,Fibroblast
cell_2706677,G0,Fibroblast
cell_2706829,G0,Fibroblast
cell_2707699,G2M,Fibroblast
cell_2708475,G0,Fibroblast
cell_2709200,G0,Fibroblast
cell_2711960,G1-G0 transition,Fibroblast
cell_2713287,G1-G0 transition,Fibroblast
cell_2713488,G2M,Fibroblast
cell_2714544,G2M,Fibroblast
cell_2714557,G1,Fibroblast
cell_2715128,G0,Fibroblast
cell_2715611,G1-G0 transition,Fibroblast
cell_2715940,S,Fibroblast
cell_2716137,G0,Fibroblast
cell_2720728,G2M,Fibroblast
cell_2721794,G1,Fibroblast
cell_2723209,G1,Fibroblast
cell_2724137,G1,Fibroblast
cell_2724388,G1-G0 transition,Fibroblast
cell_2724413,G1,Fibroblast
cell_2726783,G0,Fibroblast
cell_2728054,G0,Fibroblast
cell_2730686,S,Fibroblast
cell_2732205,G1,Fibroblast
cell_2732681,G0,Fibroblast
cell_2733376,G0,Fibroblast
cell_2733889,G1-G0 transition,Fibroblast
cell_2734127,G2M,Fibroblast
cell_2735789,G0,Fibroblast
cell_2739383,G0,Fibroblast
cell_2740930,G1,Fibroblast
cell_2742763,G1-G0 transition,Fibroblast
cell_2743111,G0,Fibroblast
cell_2744026,G1-G0 transition,Fibroblast
cell_2744292,S,Fibroblast
cell_2744567,G0,Fibroblast
cell_2745448,G0,Fibroblast
cell_2748941,S,Fibroblast
cell_2749379,S,Fibroblast
cell_2749750,S,Fibroblast
cell_2750491,G0,Fibroblast
cell_2751021,G0,Fibroblast
cell_2751043,S,Fibroblast
cell_2751089,G0,Fibroblast
cell_2751468,S,Fibroblast
cell_2752423,G2M,Fibroblast
cell_2755451,S,Fibroblast
cell_2755900,G1,Fibroblast
cell_2757277,G2M,Fibroblast
cell_2758119,G0,Fibroblast
cell_2758197,G0,Fibroblast
cell_2759620,G2M,Fibroblast
cell_2760841,G1,Fibroblast
cell_2762737,G0,Fibroblast
cell_2763381,G0,Fibroblast
cell_2765298,G1-G0 transition,Fibroblast
cell_2766579,G0,Fibroblast
cell_2767901,G0,Fibroblast
cell_2769154,G2M,Fibroblast
cell_2769327,G0,Fibroblast
cell_2769571,G1,Fibroblast
cell_2772002,G1-G0 transition,Fibroblast
cell_2773328,G1-G0 transition,Fibroblast
cell_2774993,G1-G0 transition,Fibroblast
cell_2775212,G2M,Fibroblast
cell_2776333,G1-G0 transition,Fibroblast
cell_2778302,G1,Fibroblast
cell_2781172,G2M,Fibroblast
cell_2781209,G1,Fibroblast
cell_2782971,G1-G0 transition,Fibroblast
cell_2782992,S,Fibroblast
cell_2785068,G0,Fibroblast
cell_2787411,G1-G0 transition,Fibroblast
cell_2789053,G0,Fibroblast
cell_2790285,G0,Fibroblast
cell_2793196,S,Fibroblast
cell_2793296,G1-G0 transition,Fibroblast
cell_2795811,G0,Fibroblast
cell_2796483,S,Fibroblast
cell_2798932,G1-G0 transition,Fibroblast
cell_2798997,G0,Fibroblast
cell_2800541,G0,Fibroblast
cell_2801067,G1-G0 transition,Fibroblast
cell_2801174,S,Fibroblast
cell_2802235,S,Fibroblast
cell_2803960,G0,Fibroblast
cell_2807589,G0,Fibroblast
cell_2808517,G0,Fibroblast
cell_2809169,G1-G0 transition,Fibroblast
cell_2810650,G1-G0 transition,Fibroblast
cell_2812269,S,Fibroblast
cell_2812972,G0,Fibroblast
cell_2813748,G1-G0 transition,Fibroblast
cell_2814904,G1-G0 transition,Fibroblast
cell_2815802,S,Fibroblast
cell_2820312,G1,Fibroblast
cell_2822864,G1,Fibroblast
cell_2823463,S,Fibroblast
cell_2826817,S,Fibroblast
cell_2827613,G1,Fibroblast
cell_2828329,S,Fibroblast
cell_2829497,G1-G0 transition,Fibroblast
cell_2830286,G0,Fibroblast
cell_2831186,G0,Fibroblast
cell_2831563,S,Fibroblast
cell_2832243,G1,Fibroblast
cell_2834746,G1,Fibroblast
cell_2838728,G0,Fibroblast
cell_2839012,G1,Fibroblast
cell_2839036,G1,Fibroblast
cell_2840513,G0,Fibroblast
cell_2840789,G0,Fibroblast
cell_2841069,G0,Fibroblast
cell_2844288,G1,Fibroblast
cell_2850417,G0,Fibroblast
cell_2850438,G1,Fibroblast
cell_2854572,G2M,Fibroblast
cell_2858398,G0,Fibroblast
cell_2858705,S,Fibroblast
cell_2859388,S,Fibroblast
cell_2859934,S,Fibroblast
cell_2860385,G0,Fibroblast
cell_2863680,G0,Fibroblast
cell_2863921,G0,Fibroblast
cell_2864267,G0,Fibroblast
cell_2864566,S,Fibroblast
cell_2865282,G0,Fibroblast
cell_2867272,G1,Fibroblast
cell_2869969,G0,Fibroblast
cell_2871021,G0,Fibroblast
cell_2874813,S,Fibroblast
cell_2874852,G0,Fibroblast
cell_2875851,S,Fibroblast
cell_2875982,G2M,Fibroblast
cell_2876029,G2M,Fibroblast
cell_2876262,G0,Fibroblast
cell_2877290,G1-G0 transition,Fibroblast
cell_2878019,G0,Fibroblast
cell_2879932,S,Fibroblast
cell_2886254,G1-G0 transition,Fibroblast
cell_2888048,G0,Fibroblast
cell_2888281,G2M,Fibroblast
cell_2888631,S,Fibroblast
cell_2889984,G0,Fibroblast
cell_2890926,S,Fibroblast
cell_2891112,S,Fibroblast
cell_2893744,G0,Fibroblast
cell_2894673,G1-G0 transition,Fibroblast
cell_2895893,G0,Fibroblast
cell_2897157,G1,Fibroblast
cell_2900601,G1,Fibroblast
cell_2904106,S,Fibroblast
cell_2905598,S,Fibroblast
cell_2907925,G1,Fibroblast
cell_2908193,S,Fibroblast
cell_2912532,G0,Fibroblast
cell_2912854,G0,Fibroblast
cell_2912964,G1-G0 transition,Fibroblast
cell_2913143,S,Fibroblast
cell_2913319,G1-G0 transition,Fibroblast
cell_2913459,G1,Fibroblast
cell_2913510,G1-G0 transition,Fibroblast
cell_2914186,G1-G0 transition,Fibroblast
cell_2915401,S,Fibroblast
cell_2916479,G1-G0 transition,Fibroblast
cell_2917634,G1-G0 transition,Fibroblast
cell_2917696,S,Fibroblast
cell_2917778,G0,Fibroblast
cell_2918550,G1,Fibroblast
cell_2919550,S,Fibroblast
cell_2921315,S,Fibroblast
cell_2922260,G0,Fibroblast
cell_2924270,G0,Fibroblast
cell_2924499,S,Fibroblast
cell_2924558,S,Fibroblast
cell_2927502,S,Fibroblast
cell_2928618,G1-G0 transition,Fibroblast
cell_2933170,G1,Fibroblast
cell_2936983,G0,Fibroblast
cell_2937215,G0,Fibroblast
cell_2937642,G0,Fibroblast
cell_2938644,S,Fibroblast
cell_2940185,G1,Fibroblast
cell_2941789,G0,Fibroblast
cell_2941827,G1,Fibroblast
cell_2941974,G0,Fibroblast
cell_2942564,G2M,Fibroblast
cell_2942751,G1-G0 transition,Fibroblast
cell_2943495,G0,Fibroblast
cell_2947079,G1-G0 transition,Fibroblast
cell_2947456,S,Fibroblast
cell_2952358,G0,Fibroblast
cell_2953382,G1,Fibroblast
cell_2953806,G0,Fibroblast
cell_2955971,S,Fibroblast
cell_2956874,S,Fibroblast
cell_2957722,G0,Fibroblast
cell_2957903,G1-G0 transition,Fibroblast
cell_2958055,G1,Fibroblast
cell_2960986,G0,Fibroblast
cell_2961902,G1,Fibroblast
cell_2961924,G0,Fibroblast
cell_2962596,G0,Fibroblast
cell_2963335,G1-G0 transition,Fibroblast
cell_2966395,G1,Fibroblast
cell_2966958,G0,Fibroblast
cell_2967296,G2M,Fibroblast
cell_2967779,G2M,Fibroblast
cell_2969318,G1,Fibroblast
cell_2969392,S,Fibroblast
cell_2969540,G1,Fibroblast
cell_2971858,G1-G0 transition,Fibroblast
cell_2973279,S,Fibroblast
cell_2974204,G1,Fibroblast
cell_2975730,S,Fibroblast
cell_2975987,G1,Fibroblast
cell_2977027,G2M,Fibroblast
cell_2977542,S,Fibroblast
cell_2978674,S,Fibroblast
cell_2979452,G1,Fibroblast
cell_2979992,G1,Fibroblast
cell_2980547,G1-G0 transition,Fibroblast
cell_2980953,G0,Fibroblast
cell_2981317,G0,Fibroblast
cell_2982568,G0,Fibroblast
cell_2982793,S,Fibroblast
cell_2986147,S,Fibroblast
cell_2987674,G0,Fibroblast
cell_2989051,G2M,Fibroblast
cell_2989216,G1-G0 transition,Fibroblast
cell_2990826,G1-G0 transition,Fibroblast
cell_2991723,G2M,Fibroblast
cell_2992717,G0,Fibroblast
cell_2995239,G1-G0 transition,Fibroblast
cell_2995301,G0,Fibroblast
cell_2995389,G0,Fibroblast
cell_2995704,G1-G0 transition,Fibroblast
cell_2997132,G1-G0 transition,Fibroblast
cell_2998771,G0,Fibroblast
cell_2999036,G0,Fibroblast
cell_3000170,G0,Fibroblast
cell_3000585,G0,Fibroblast
cell_3002635,G1-G0 transition,Fibroblast
cell_3004790,G2M,Fibroblast
cell_3005021,G0,Fibroblast
cell_3006799,G0,Fibroblast
cell_3008121,S,Fibroblast
cell_3013704,G1,Fibroblast
cell_3014036,G2M,Fibroblast
cell_3014857,G1-G0 transition,Fibroblast
cell_3016274,G0,Fibroblast
cell_3016458,G1-G0 transition,Fibroblast
cell_3016522,G1-G0 transition,Fibroblast
cell_3016607,G1,Fibroblast
cell_3017996,G1-G0 transition,Fibroblast
cell_3019653,G0,Fibroblast
cell_3019659,G1-G0 transition,Fibroblast
cell_3021454,G0,Fibroblast
cell_3023039,G1,Fibroblast
cell_3023852,G0,Fibroblast
cell_3026501,S,Fibroblast
cell_3026505,G0,Fibroblast
cell_3026510,G0,Fibroblast
cell_3028584,G0,Fibroblast
cell_3028853,G2M,Fibroblast
cell_3029374,G0,Fibroblast
cell_3029431,G1,Fibroblast
cell_3029673,G1,Fibroblast
cell_3031649,S,Fibroblast
cell_3033858,S,Fibroblast
cell_3034524,G1,Fibroblast
cell_3036818,G0,Fibroblast
cell_3038271,G2M,Fibroblast
cell_3040251,G1,Fibroblast
cell_3044735,G0,Fibroblast
cell_3045090,G2M,Fibroblast
cell_3049213,G0,Fibroblast
cell_3049827,G1-G0 transition,Fibroblast
cell_3050069,G0,Fibroblast
cell_3054656,G1,Fibroblast
cell_3054671,S,Fibroblast
cell_3054968,G1-G0 transition,Fibroblast
cell_3055896,G0,Fibroblast
cell_3058586,G2M,Fibroblast
cell_3059346,G0,Fibroblast
cell_3060479,S,Fibroblast
cell_3060725,S,Fibroblast
cell_3062449,G0,Fibroblast
cell_3063154,S,Fibroblast
cell_3063689,G0,Fibroblast
cell_3063952,G2M,Fibroblast
cell_3064052,G1-G0 transition,Fibroblast
cell_3065843,G1,Fibroblast
cell_3067444,G2M,Fibroblast
cell_3068110,G1-G0 transition,Fibroblast
cell_3069485,G0,Fibroblast
cell_3070721,G0,Fibroblast
cell_3071205,G0,Fibroblast
cell_3073163,S,Fibroblast
cell_3074672,G1,Fibroblast
cell_3074929,S,Fibroblast
cell_3075121,G1,Fibroblast
cell_3076210,S,Fibroblast
cell_3077026,G1,Fibroblast
cell_3078130,G1,Fibroblast
cell_3079659,G2M,Fibroblast
cell_3082038,G0,Fibroblast
cell_3082682,G0,Fibroblast
cell_3083520,G1,Fibroblast
cell_3083536,G0,Fibroblast
cell_3084020,G1,Fibroblast
cell_3084445,G1,Fibroblast
cell_3086004,S,Fibroblast
cell_3086550,S,Fibroblast
cell_3087081,G0,Fibroblast
cell_3088384,G1-G0 transition,Fibroblast
cell_3088536,G0,Fibroblast
cell_3088925,G1-G0 transition,Fibroblast
cell_3089726,G1,Fibroblast
cell_3090017,S,Fibroblast
cell_3092317,G2M,Fibroblast
cell_3092323,G1-G0 transition,Fibroblast
cell_3092497,G0,Fibroblast
cell_3093404,G0,Fibroblast
cell_3093476,G1,Fibroblast
cell_3094530,S,Fibroblast
cell_3096992,G1-G0 transition,Fibroblast
cell_3097457,G0,Fibroblast
cell_3097474,S,Fibroblast
cell_3100279,G2M,Fibroblast
cell_3101521,G0,Fibroblast
cell_3102841,G1,Fibroblast
cell_3102849,G1-G0 transition,Fibroblast
cell_3103488,G0,Fibroblast
cell_3107717,S,Fibroblast
cell_3110504,G0,Fibroblast
cell_3111562,G0,Fibroblast
cell_3112503,S,Fibroblast
cell_3114235,G1-G0 transition,Fibroblast
cell_3118945,G1-G0 transition,Fibroblast
cell_3118978,G1-G0 transition,Fibroblast
cell_3119944,G1,Fibroblast
cell_3126415,G0,Fibroblast
cell_3127733,G2M,Fibroblast
cell_3130610,S,Fibroblast
cell_3132389,G2M,Fibroblast
cell_3135034,G2M,Fibroblast
cell_3136351,G0,Fibroblast
cell_3138425,G1,Fibroblast
cell_3139074,S,Fibroblast
cell_3140920,G0,Fibroblast
cell_3144005,G1-G0 transition,Fibroblast
cell_3145216,G1-G0 transition,Fibroblast
cell_3146177,S,Fibroblast
cell_3147575,G1,Fibroblast
cell_3150476,G2M,Fibroblast
cell_3150818,S,Fibroblast
cell_3151245,G1-G0 transition,Fibroblast
cell_3151705,G0,Fibroblast
cell_3152011,G1-G0 transition,Fibroblast
cell_3153330,G0,Fibroblast
cell_3154091,G1-G0 transition,Fibroblast
cell_3156350,G2M,Fibroblast
cell_3157456,G0,Fibroblast
cell_3158348,G1-G0 transition,Fibroblast
cell_3159802,G1-G0 transition,Fibroblast
cell_3161233,G0,Fibroblast
cell_3161238,G0,Fibroblast
cell_3162366,G0,Fibroblast
cell_3164647,S,Fibroblast
cell_3165513,S,Fibroblast
cell_3165541,S,Fibroblast
cell_3165543,G0,Fibroblast
cell_3165773,G1-G0 transition,Fibroblast
cell_3166777,S,Fibroblast
cell_3169030,G1-G0 transition,Fibroblast
cell_3169679,S,Fibroblast
cell_3169829,G2M,Fibroblast
cell_3172520,G0,Fibroblast
cell_3177368,G0,Fibroblast
cell_3181091,S,Fibroblast
cell_3187325,S,Fibroblast
cell_3189558,S,Fibroblast
cell_3191153,S,Fibroblast
cell_3191510,G1,Fibroblast
cell_3192752,G0,Fibroblast
cell_3193069,S,Fibroblast
cell_3194199,G1-G0 transition,Fibroblast
cell_3194222,S,Fibroblast
cell_3194267,G1-G0 transition,Fibroblast
cell_3197429,S,Fibroblast
cell_3199683,G0,Fibroblast
cell_3201199,G0,Fibroblast
cell_3201475,G0,Fibroblast
cell_3202085,G1-G0 transition,Fibroblast
cell_3202543,G0,Fibroblast
cell_3204714,G0,Fibroblast
cell_3205512,G0,Fibroblast
cell_3206202,S,Fibroblast
cell_3210388,G0,Fibroblast
cell_3210684,G1,Fibroblast
cell_3212032,S,Fibroblast
cell_3212344,G1-G0 transition,Fibroblast
cell_3212458,G1-G0 transition,Fibroblast
cell_3213815,G2M,Fibroblast
cell_3215121,G1,Fibroblast
cell_3218279,G0,Fibroblast
cell_3219005,S,Fibroblast
cell_3222893,G2M,Fibroblast
cell_3223466,G2M,Fibroblast
cell_3223877,S,Fibroblast
cell_3225890,G0,Fibroblast
cell_3226340,G0,Fibroblast
cell_3226708,G2M,Fibroblast
cell_3228444,S,Fibroblast
cell_3231622,G1-G0 transition,Fibroblast
cell_3237551,G1,Fibroblast
cell_3247778,G0,Fibroblast
cell_3251466,G0,Fibroblast
cell_3253757,G1,Fibroblast
cell_3256328,G1,Fibroblast
cell_3257320,G1-G0 transition,Fibroblast
cell_3258003,G1,Fibroblast
cell_3265541,G1,Fibroblast
cell_3265944,G1-G0 transition,Fibroblast
cell_3267076,G0,Fibroblast
cell_3267588,G1,Fibroblast
cell_3268527,S,Fibroblast
cell_3268754,G1,Fibroblast
cell_3270666,G1-G0 transition,Fibroblast
cell_3271379,G0,Fibroblast
cell_3272391,G1-G0 transition,Fibroblast
cell_3273238,G1-G0 transition,Fibroblast
cell_3274853,G1,Fibroblast
cell_3275287,G2M,Fibroblast
cell_3275750,G1,Fibroblast
cell_3275773,G0,Fibroblast
cell_3281328,G1,Fibroblast
cell_3288152,G1,Fibroblast
cell_3288939,G1-G0 transition,Fibroblast
cell_3289643,G0,Fibroblast
cell_3290704,G1-G0 transition,Fibroblast
